zip,city,area_code,county,state,metro
60615,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60616,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60617,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60618,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60619,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60620,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60621,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60622,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60623,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60624,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60625,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60626,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60628,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60629,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60630,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60631,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60632,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60633,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60634,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60636,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60637,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60638,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60639,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60640,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60641,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60642,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60643,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60644,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60645,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60646,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60647,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60649,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60651,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60652,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60653,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60654,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60655,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60656,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60657,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60659,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60660,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60661,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60664,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60666,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60668,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60669,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60670,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60673,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60674,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60675,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60677,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60678,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
